date,package,daily,weekly,monthly
2026-05-02,@agentsid/mcp-scanner,1,15,732
2026-05-02,@agentsid/sdk,0,3,20
2026-05-02,@agentsid/proxy,0,5,34
2026-05-03,@agentsid/scanner,11,35,503
2026-05-03,@agentsid/mcp-scanner,13,27,329
2026-05-03,@agentsid/sdk,2,5,19
2026-05-03,@agentsid/proxy,2,7,33
2026-05-04,@agentsid/scanner,6,32,305
2026-05-04,@agentsid/mcp-scanner,7,26,187
2026-05-04,@agentsid/sdk,1,5,19
2026-05-04,@agentsid/proxy,1,7,29
2026-05-05,@agentsid/scanner,6,33,299
2026-05-05,@agentsid/mcp-scanner,7,33,188
2026-05-05,@agentsid/sdk,1,6,20
2026-05-05,@agentsid/proxy,2,9,31
2026-05-06,@agentsid/scanner,6,33,299
2026-05-06,@agentsid/mcp-scanner,7,33,188
2026-05-06,@agentsid/sdk,1,6,20
2026-05-06,@agentsid/proxy,2,9,31
2026-05-07,@agentsid/scanner,6,31,283
2026-05-07,@agentsid/mcp-scanner,7,36,157
2026-05-07,@agentsid/sdk,1,6,18
2026-05-07,@agentsid/proxy,1,8,25
2026-05-08,@agentsid/scanner,6,31,283
2026-05-08,@agentsid/mcp-scanner,7,36,157
2026-05-08,@agentsid/sdk,1,6,18
2026-05-08,@agentsid/proxy,1,8,25
2026-05-09,@agentsid/scanner,5,35,170
2026-05-09,@agentsid/mcp-scanner,7,42,147
2026-05-09,@agentsid/sdk,1,6,18
2026-05-09,@agentsid/proxy,2,8,26
2026-05-10,@agentsid/scanner,0,34,144
2026-05-10,@agentsid/mcp-scanner,1,42,112
2026-05-10,@agentsid/sdk,3,9,21
2026-05-10,@agentsid/proxy,0,8,26
2026-05-11,@agentsid/scanner,3,20,118
2026-05-11,@agentsid/mcp-scanner,0,29,98
2026-05-11,@agentsid/sdk,0,9,22
2026-05-11,@agentsid/proxy,0,9,28
2026-05-12,@agentsid/scanner,3,20,118
2026-05-12,@agentsid/mcp-scanner,0,29,98
2026-05-12,@agentsid/sdk,0,9,22
2026-05-12,@agentsid/proxy,0,9,28
2026-05-13,@agentsid/scanner,5,19,105
2026-05-13,@agentsid/mcp-scanner,7,29,102
2026-05-13,@agentsid/sdk,1,9,22
2026-05-13,@agentsid/proxy,1,8,28
2026-05-14,@agentsid/scanner,0,19,104
2026-05-14,@agentsid/mcp-scanner,9,38,109
2026-05-14,@agentsid/sdk,1,10,21
2026-05-14,@agentsid/proxy,1,9,26
2026-05-15,@agentsid/scanner,1,9,99
2026-05-15,@agentsid/mcp-scanner,6,32,117
2026-05-15,@agentsid/sdk,0,10,22
2026-05-15,@agentsid/proxy,0,6,24
2026-05-16,@agentsid/scanner,0,9,97
2026-05-16,@agentsid/mcp-scanner,1,32,118
2026-05-16,@agentsid/sdk,0,7,22
2026-05-16,@agentsid/proxy,1,7,25
2026-05-17,@agentsid/scanner,4,13,100
2026-05-17,@agentsid/mcp-scanner,4,29,120
2026-05-17,@agentsid/sdk,0,4,22
2026-05-17,@agentsid/proxy,0,3,25
2026-05-18,@agentsid/scanner,0,10,99
2026-05-18,@agentsid/mcp-scanner,1,30,121
2026-05-18,@agentsid/sdk,0,4,22
2026-05-18,@agentsid/proxy,0,3,25
2026-05-19,@agentsid/scanner,2,7,93
2026-05-19,@agentsid/mcp-scanner,1,24,121
2026-05-19,@agentsid/sdk,0,3,22
2026-05-19,@agentsid/proxy,1,3,26
2026-05-20,@agentsid/scanner,1,8,92
2026-05-20,@agentsid/mcp-scanner,1,16,119
2026-05-20,@agentsid/sdk,0,2,22
2026-05-20,@agentsid/proxy,0,2,26
2026-05-21,@agentsid/scanner,5,13,97
2026-05-21,@agentsid/mcp-scanner,6,20,125
2026-05-21,@agentsid/sdk,0,0,22
2026-05-21,@agentsid/proxy,0,2,26
2026-05-22,@agentsid/scanner,3,15,96
2026-05-22,@agentsid/mcp-scanner,2,16,121
2026-05-22,@agentsid/sdk,3,3,25
2026-05-22,@agentsid/proxy,2,4,28
2026-05-24,@agentsid/scanner,3,21,99
2026-05-24,@agentsid/mcp-scanner,1,18,111
2026-05-24,@agentsid/sdk,1,4,23
2026-05-24,@agentsid/proxy,2,6,27
2026-05-25,@agentsid/scanner,7,28,103
2026-05-25,@agentsid/mcp-scanner,9,26,120
2026-05-25,@agentsid/sdk,1,5,24
2026-05-25,@agentsid/proxy,2,8,28
2026-05-26,@agentsid/scanner,5,31,104
2026-05-26,@agentsid/mcp-scanner,8,33,127
2026-05-26,@agentsid/sdk,1,6,25
2026-05-26,@agentsid/proxy,1,8,29
2026-05-27,@agentsid/scanner,0,30,95
2026-05-27,@agentsid/mcp-scanner,2,34,121
2026-05-27,@agentsid/sdk,0,6,24
2026-05-27,@agentsid/proxy,2,10,30
2026-05-28,@agentsid/scanner,8,33,98
2026-05-28,@agentsid/mcp-scanner,7,35,128
2026-05-28,@agentsid/sdk,0,6,24
2026-05-28,@agentsid/proxy,0,10,30
2026-05-29,@agentsid/scanner,8,33,98
2026-05-29,@agentsid/mcp-scanner,7,35,128
2026-05-29,@agentsid/sdk,0,6,24
2026-05-29,@agentsid/proxy,0,10,30
2026-05-30,@agentsid/scanner,2,25,92
2026-05-30,@agentsid/mcp-scanner,2,29,126
2026-05-30,@agentsid/sdk,0,3,23
2026-05-30,@agentsid/proxy,0,7,28
2026-05-31,@agentsid/scanner,2,25,92
2026-05-31,@agentsid/mcp-scanner,2,29,126
2026-05-31,@agentsid/sdk,0,3,23
2026-05-31,@agentsid/proxy,0,7,28
2026-06-01,@agentsid/scanner,4,31,106
2026-06-01,@agentsid/mcp-scanner,1,27,132
2026-06-01,@agentsid/sdk,0,1,22
2026-06-01,@agentsid/proxy,0,5,28
2026-06-02,@agentsid/scanner,4,31,106
2026-06-02,@agentsid/mcp-scanner,1,27,132
2026-06-02,@agentsid/sdk,0,1,22
2026-06-02,@agentsid/proxy,0,5,28
2026-06-03,@agentsid/scanner,2,32,95
2026-06-03,@agentsid/mcp-scanner,6,26,121
2026-06-03,@agentsid/sdk,3,5,24
2026-06-03,@agentsid/proxy,3,8,31
2026-06-04,@agentsid/scanner,2,32,95
2026-06-04,@agentsid/mcp-scanner,6,26,121
2026-06-04,@agentsid/sdk,3,5,24
2026-06-04,@agentsid/proxy,3,8,31
2026-06-05,@agentsid/scanner,2,32,95
2026-06-05,@agentsid/mcp-scanner,6,26,121
2026-06-05,@agentsid/sdk,3,5,24
2026-06-05,@agentsid/proxy,3,8,31
2026-06-06,@agentsid/scanner,2,32,95
2026-06-06,@agentsid/mcp-scanner,6,26,121
2026-06-06,@agentsid/sdk,3,5,24
2026-06-06,@agentsid/proxy,3,8,31
2026-06-07,@agentsid/scanner,2,32,95
2026-06-07,@agentsid/mcp-scanner,6,26,121
2026-06-07,@agentsid/sdk,3,5,24
2026-06-07,@agentsid/proxy,3,8,31
2026-06-08,@agentsid/scanner,2,32,95
2026-06-08,@agentsid/mcp-scanner,6,26,121
2026-06-08,@agentsid/sdk,3,5,24
2026-06-08,@agentsid/proxy,3,8,31
2026-06-09,@agentsid/scanner,2,32,95
2026-06-09,@agentsid/mcp-scanner,6,26,121
2026-06-09,@agentsid/sdk,3,5,24
2026-06-09,@agentsid/proxy,3,8,31
2026-06-10,@agentsid/scanner,2,32,95
2026-06-10,@agentsid/mcp-scanner,6,26,121
2026-06-10,@agentsid/sdk,3,5,24
2026-06-10,@agentsid/proxy,3,8,31
2026-06-11,@agentsid/scanner,2,32,95
2026-06-11,@agentsid/mcp-scanner,6,26,121
2026-06-11,@agentsid/sdk,3,5,24
2026-06-11,@agentsid/proxy,3,8,31
2026-06-12,@agentsid/scanner,0,16,112
2026-06-12,@agentsid/mcp-scanner,0,18,94
2026-06-12,@agentsid/sdk,0,10,26
2026-06-12,@agentsid/proxy,0,8,30
2026-06-13,@agentsid/scanner,0,16,112
2026-06-13,@agentsid/mcp-scanner,0,18,94
2026-06-13,@agentsid/sdk,0,10,26
2026-06-13,@agentsid/proxy,0,8,30
2026-06-14,@agentsid/scanner,0,8,111
2026-06-14,@agentsid/mcp-scanner,0,18,90
2026-06-14,@agentsid/sdk,1,4,25
2026-06-14,@agentsid/proxy,0,2,30
2026-06-15,@agentsid/scanner,0,8,111
2026-06-15,@agentsid/mcp-scanner,1,19,90
2026-06-15,@agentsid/sdk,0,4,25
2026-06-15,@agentsid/proxy,0,2,29
2026-06-16,@agentsid/scanner,0,8,111
2026-06-16,@agentsid/mcp-scanner,1,19,90
2026-06-16,@agentsid/sdk,0,4,25
2026-06-16,@agentsid/proxy,0,2,29
2026-06-17,@agentsid/scanner,5,6,112
2026-06-17,@agentsid/mcp-scanner,4,13,90
2026-06-17,@agentsid/sdk,2,3,27
2026-06-17,@agentsid/proxy,2,4,31
2026-06-18,@agentsid/scanner,2,7,114
2026-06-18,@agentsid/mcp-scanner,1,13,90
2026-06-18,@agentsid/sdk,1,4,28
2026-06-18,@agentsid/proxy,1,5,32
2026-06-19,@agentsid/scanner,8,15,120
2026-06-19,@agentsid/mcp-scanner,11,21,100
2026-06-19,@agentsid/sdk,2,6,30
2026-06-19,@agentsid/proxy,3,6,34
2026-06-20,@agentsid/scanner,1,16,120
2026-06-20,@agentsid/mcp-scanner,4,25,103
2026-06-20,@agentsid/sdk,2,8,32
2026-06-20,@agentsid/proxy,1,7,35
2026-06-21,@agentsid/scanner,1,23,119
2026-06-21,@agentsid/mcp-scanner,0,22,96
2026-06-21,@agentsid/sdk,1,8,30
2026-06-21,@agentsid/proxy,0,9,35
2026-06-22,@agentsid/scanner,1,24,113
2026-06-22,@agentsid/mcp-scanner,0,21,90
2026-06-22,@agentsid/sdk,0,8,30
2026-06-22,@agentsid/proxy,1,10,35
2026-06-23,@agentsid/scanner,1,24,113
2026-06-23,@agentsid/mcp-scanner,0,21,90
2026-06-23,@agentsid/sdk,0,8,30
2026-06-23,@agentsid/proxy,1,10,35
2026-06-24,@agentsid/scanner,2,21,112
2026-06-24,@agentsid/mcp-scanner,7,24,96
2026-06-24,@agentsid/sdk,0,6,29
2026-06-24,@agentsid/proxy,0,8,33
2026-06-25,@agentsid/scanner,8,27,113
2026-06-25,@agentsid/mcp-scanner,5,28,92
2026-06-25,@agentsid/sdk,0,5,28
2026-06-25,@agentsid/proxy,1,8,32
2026-06-26,@agentsid/scanner,9,28,117
2026-06-26,@agentsid/mcp-scanner,2,19,86
2026-06-26,@agentsid/sdk,0,3,27
2026-06-26,@agentsid/proxy,0,5,31
2026-06-27,@agentsid/scanner,9,28,117
2026-06-27,@agentsid/mcp-scanner,2,19,86
2026-06-27,@agentsid/sdk,0,3,27
2026-06-27,@agentsid/proxy,0,5,31
2026-06-28,@agentsid/scanner,2,25,114
2026-06-28,@agentsid/mcp-scanner,2,21,84
2026-06-28,@agentsid/sdk,1,2,29
2026-06-28,@agentsid/proxy,1,7,34
2026-06-29,@agentsid/scanner,3,27,115
2026-06-29,@agentsid/mcp-scanner,2,23,84
2026-06-29,@agentsid/sdk,1,3,30
2026-06-29,@agentsid/proxy,1,7,35
2026-06-30,@agentsid/scanner,3,27,115
2026-06-30,@agentsid/mcp-scanner,2,23,84
2026-06-30,@agentsid/sdk,1,3,30
2026-06-30,@agentsid/proxy,1,7,35
2026-07-01,@agentsid/scanner,3,27,115
2026-07-01,@agentsid/mcp-scanner,2,23,84
2026-07-01,@agentsid/sdk,1,3,30
2026-07-01,@agentsid/proxy,1,7,35
2026-07-02,@agentsid/scanner,3,27,115
2026-07-02,@agentsid/mcp-scanner,2,23,84
2026-07-02,@agentsid/sdk,1,3,30
2026-07-02,@agentsid/proxy,1,7,35
2026-07-03,@agentsid/scanner,3,27,115
2026-07-03,@agentsid/mcp-scanner,2,23,84
2026-07-03,@agentsid/sdk,1,3,30
2026-07-03,@agentsid/proxy,1,7,35
2026-07-04,@agentsid/scanner,9,26,111
2026-07-04,@agentsid/mcp-scanner,4,18,78
2026-07-04,@agentsid/sdk,5,9,31
2026-07-04,@agentsid/proxy,11,16,39
2026-07-05,@agentsid/scanner,0,27,91
2026-07-05,@agentsid/mcp-scanner,0,19,84
2026-07-05,@agentsid/sdk,0,10,31
2026-07-05,@agentsid/proxy,0,16,40
2026-07-06,@agentsid/scanner,1,25,87
2026-07-06,@agentsid/mcp-scanner,0,17,83
2026-07-06,@agentsid/sdk,0,9,26
2026-07-06,@agentsid/proxy,1,16,41
2026-07-07,@agentsid/scanner,1,25,87
2026-07-07,@agentsid/mcp-scanner,0,17,83
2026-07-07,@agentsid/sdk,0,9,26
2026-07-07,@agentsid/proxy,1,16,41
2026-07-08,@agentsid/scanner,1,25,87
2026-07-08,@agentsid/mcp-scanner,0,17,83
2026-07-08,@agentsid/sdk,0,9,26
2026-07-08,@agentsid/proxy,1,16,41
2026-07-09,@agentsid/scanner,1,25,87
2026-07-09,@agentsid/mcp-scanner,0,17,83
2026-07-09,@agentsid/sdk,0,9,26
2026-07-09,@agentsid/proxy,1,16,41
2026-07-10,@agentsid/scanner,5,23,84
2026-07-10,@agentsid/mcp-scanner,6,17,77
2026-07-10,@agentsid/sdk,1,9,22
2026-07-10,@agentsid/proxy,1,16,36
2026-07-11,@agentsid/scanner,5,23,84
2026-07-11,@agentsid/mcp-scanner,6,17,77
2026-07-11,@agentsid/sdk,1,9,22
2026-07-11,@agentsid/proxy,1,16,36
2026-07-12,@agentsid/scanner,0,19,94
2026-07-12,@agentsid/mcp-scanner,0,7,73
2026-07-12,@agentsid/sdk,0,1,22
2026-07-12,@agentsid/proxy,1,3,35
2026-07-13,@agentsid/scanner,0,19,94
2026-07-13,@agentsid/mcp-scanner,0,7,73
2026-07-13,@agentsid/sdk,0,1,22
2026-07-13,@agentsid/proxy,1,3,35
2026-07-14,@agentsid/scanner,0,19,94
2026-07-14,@agentsid/mcp-scanner,0,7,73
2026-07-14,@agentsid/sdk,0,1,22
2026-07-14,@agentsid/proxy,1,3,35
2026-07-15,@agentsid/scanner,2,18,96
2026-07-15,@agentsid/mcp-scanner,1,7,70
2026-07-15,@agentsid/sdk,0,1,21
2026-07-15,@agentsid/proxy,0,2,35
2026-07-16,@agentsid/scanner,2,20,98
2026-07-16,@agentsid/mcp-scanner,2,9,71
2026-07-16,@agentsid/sdk,2,3,23
2026-07-16,@agentsid/proxy,2,4,37
2026-07-17,@agentsid/scanner,2,17,95
2026-07-17,@agentsid/mcp-scanner,1,4,68
2026-07-17,@agentsid/sdk,1,3,22
2026-07-17,@agentsid/proxy,1,4,36
2026-07-18,@agentsid/scanner,0,7,93
2026-07-18,@agentsid/mcp-scanner,0,4,67
2026-07-18,@agentsid/sdk,0,3,21
2026-07-18,@agentsid/proxy,0,4,35
2026-07-19,@agentsid/scanner,1,7,85
2026-07-19,@agentsid/mcp-scanner,2,6,54
2026-07-19,@agentsid/sdk,1,4,18
2026-07-19,@agentsid/proxy,1,4,32
2026-07-20,@agentsid/scanner,4,11,83
2026-07-20,@agentsid/mcp-scanner,4,10,57
2026-07-20,@agentsid/sdk,0,4,18
2026-07-20,@agentsid/proxy,1,5,31
2026-07-21,@agentsid/scanner,4,11,83
2026-07-21,@agentsid/mcp-scanner,4,10,57
2026-07-21,@agentsid/sdk,0,4,18
2026-07-21,@agentsid/proxy,1,5,31
2026-07-22,@agentsid/scanner,3,12,85
2026-07-22,@agentsid/mcp-scanner,4,13,61
2026-07-22,@agentsid/sdk,0,4,17
2026-07-22,@agentsid/proxy,0,5,31
2026-07-23,@agentsid/scanner,1,11,85
2026-07-23,@agentsid/mcp-scanner,1,12,62
2026-07-23,@agentsid/sdk,1,3,18
2026-07-23,@agentsid/proxy,1,4,31
2026-07-24,@agentsid/scanner,0,9,83
2026-07-24,@agentsid/mcp-scanner,10,21,65
2026-07-24,@agentsid/sdk,1,3,19
2026-07-24,@agentsid/proxy,1,4,32
2026-07-25,@agentsid/scanner,0,9,75
2026-07-25,@agentsid/mcp-scanner,13,34,73
2026-07-25,@agentsid/sdk,0,3,19
2026-07-25,@agentsid/proxy,11,15,42
2026-07-26,@agentsid/scanner,0,9,66
2026-07-26,@agentsid/mcp-scanner,1,35,72
2026-07-26,@agentsid/sdk,0,3,19
2026-07-26,@agentsid/proxy,2,17,44
2026-07-27,@agentsid/scanner,0,9,66
2026-07-27,@agentsid/mcp-scanner,1,35,72
2026-07-27,@agentsid/sdk,0,3,19
2026-07-27,@agentsid/proxy,2,17,44
2026-07-28,@agentsid/scanner,0,9,66
2026-07-28,@agentsid/mcp-scanner,1,35,72
2026-07-28,@agentsid/sdk,0,3,19
2026-07-28,@agentsid/proxy,2,17,44
2026-07-29,@agentsid/scanner,0,9,66
2026-07-29,@agentsid/mcp-scanner,1,35,72
2026-07-29,@agentsid/sdk,0,3,19
2026-07-29,@agentsid/proxy,2,17,44
2026-07-30,@agentsid/scanner,1,10,68
2026-07-30,@agentsid/mcp-scanner,9,37,76
2026-07-30,@agentsid/sdk,1,2,17
2026-07-30,@agentsid/proxy,2,20,44
2026-07-31,@agentsid/scanner,1,11,68
2026-07-31,@agentsid/mcp-scanner,4,31,79
2026-07-31,@agentsid/sdk,1,2,17
2026-07-31,@agentsid/proxy,2,21,45
2026-08-01,@agentsid/scanner,1,12,68
2026-08-01,@agentsid/mcp-scanner,0,18,73
2026-08-01,@agentsid/sdk,0,2,17
2026-08-01,@agentsid/proxy,0,10,45
2026-08-02,@agentsid/scanner,1,14,54
2026-08-02,@agentsid/mcp-scanner,2,20,72
2026-08-02,@agentsid/sdk,1,3,13
2026-08-02,@agentsid/proxy,2,11,37
2026-08-03,@agentsid/scanner,0,5,48
2026-08-03,@agentsid/mcp-scanner,1,21,67
2026-08-03,@agentsid/sdk,0,3,10
2026-08-03,@agentsid/proxy,1,10,35
2026-08-04,@agentsid/scanner,0,5,48
2026-08-04,@agentsid/mcp-scanner,1,21,67
2026-08-04,@agentsid/sdk,0,3,10
2026-08-04,@agentsid/proxy,1,10,35
2026-08-05,@agentsid/scanner,0,5,48
2026-08-05,@agentsid/mcp-scanner,2,19,69
2026-08-05,@agentsid/sdk,0,3,10
2026-08-05,@agentsid/proxy,1,9,36
2026-08-06,@agentsid/scanner,1,5,48
2026-08-06,@agentsid/mcp-scanner,2,12,71
2026-08-06,@agentsid/sdk,1,3,11
2026-08-06,@agentsid/proxy,2,9,37
2026-08-07,@agentsid/scanner,0,4,46
2026-08-07,@agentsid/mcp-scanner,1,9,71
2026-08-07,@agentsid/sdk,0,2,11
2026-08-07,@agentsid/proxy,1,8,38
2026-08-08,@agentsid/scanner,4,7,50
2026-08-08,@agentsid/mcp-scanner,8,17,79
2026-08-08,@agentsid/sdk,0,2,11
2026-08-08,@agentsid/proxy,2,10,40
2026-08-09,@agentsid/scanner,0,5,35
2026-08-09,@agentsid/mcp-scanner,3,17,76
2026-08-09,@agentsid/sdk,0,1,10
2026-08-09,@agentsid/proxy,1,8,40
2026-08-10,@agentsid/scanner,0,5,34
2026-08-10,@agentsid/mcp-scanner,4,20,80
2026-08-10,@agentsid/sdk,2,3,12
2026-08-10,@agentsid/proxy,2,9,42
2026-08-11,@agentsid/scanner,0,5,34
2026-08-11,@agentsid/mcp-scanner,4,20,80
2026-08-11,@agentsid/sdk,2,3,12
2026-08-11,@agentsid/proxy,2,9,42
2026-08-12,@agentsid/scanner,0,5,34
2026-08-12,@agentsid/mcp-scanner,4,20,80
2026-08-12,@agentsid/sdk,2,3,12
2026-08-12,@agentsid/proxy,2,9,42
